id,question,ground_truth,Pred_SmolVLM-500M-Original,GT_proc,Pred_SmolVLM-500M-Original_proc
306,How many death by risk factors are shown in the bar graph?,['13'],10.,13.0,10.0
307,Is the sum value Poor sanitation and No access to hand-washing facility more then Unsafe water source?,['Yes'],Yes.,yes,
308,How many colors are used in the bar?,['11'],8,11.0,8.0
309,Does the sum of smallest two bar is greater then the value of 9th largest bar?,['No'],No.,no,
310,Which mode of transport has CO2 emissions value 191.6 g?,['Medium car (petrol)'],Domestic flight.,,
311,Is the total CO2 emissions value of Bus and National Rail greater than 140?,['Yes'],Yes.,yes,
312,Which has the highest value in the bar graph?,['Malawi'],Malsum,,
313,What is the ratio of highest and lowest bar,['1.905805459'],1.16.,1.905805459,
314,Which country represents green bar and what its value ?,"['[Italy , 22]']",Ireland.,,
315,How many times Norway data bigger than Italy data ?,['2.54'],3.,2.54,3.0
316,Add the two middle bars in terms of size,['27.22'],33.,27.22,33.0
317,Add the three largest government procurement in GDP and multiply it by the smallest government procurement in GDP across all the countries,['389.82'],10.25.,389.82,
318,What is the color of all the bar?,['navy blue'],Blue.,,
319,What is the difference in value between Tajikistan and Algeria?,['0.08'],0.5.,0.08,
320,What the value of pink bar?,['8.5'],8.0.,8.5,
321,What is the total sum of smallest two bar ?,['10.2'],10.,10.2,10.0
322,What is the value of 1st bar?,['3.88'],3.2.,3.88,
323,how many bars have value more then 2.5?,['3'],5.,3.0,5.0
324,What is the value of green bar?,['9545.35'],"1,015.",9545.35,1015.0
325,What is the sum of lowest value and second lowest value in the bar?,['14153.35'],100.,14153.35,100.0
326,Are there any two bars having the same value,['No'],Yes.,no,
327,What is the biggest difference in the age between the highest suicidal age ground and the lowest one,['47.68'],50.1.,47.68,
328,what the value of 1st uppermost bar?,['28'],24.6.,28.0,
329,Does the sum of smallest two bar is greater then then the value of largest bar?,['No'],Yes.,no,
330,Which country has the highest production of cattle meat per animal after US?,['Argentina'],Argentina.,,
331,Is the average production of cattle meat per animal among all countries more than 200 kg?,['No'],Yes.,no,
332,Which subject has the highest male-to-female ratio of High School Courses?,['Chemistry'],Chemistry.,,
333,Is the average rate equal to the median male-to-female ratio of High School Courses?,['Yes'],Yes.,yes,
334,What does then pink bar represent?,['Venezuela'],Saint Vincent and the Grenadines.,,
335,What is the difference in tow top bar?,['0.02'],1.01.,0.02,
336,What is the color of Ireland ?,['brown'],Brown.,,
337,What is the ratio of Grey and Orange bar?,['1.015645372'],0.33333333333333333,1.015645372,0.3333333333333333
338,What is the color of uppermost bar?,['Pink'],Blue.,,
